Location","Project Title","Federal Contribution,"Note"
Sainte-Élisabeth,"Program for the renewal of drinking water and wastewater pipes (PRECO)",2681200,
Sainte-Élisabeth,"Program for the renewal of drinking water and wastewater pipes (PRECO)",768750,
Sainte-Élizabeth,"Program for the renewal of drinking water and wastewater pipes (PRECO)",901250,
Sainte-Flavie and Mont-Joli,"Repairs on Perreault Road East in the municipalities of Sainte-Flavie and Mont-Joli",600500,
Sainte-François-de-Sales,"Program for the renewal of drinking water and wastewater pipes (PRECO)",399430,
Sainte-Geneviève-de-Berthier,"Program for the renewal of drinking water and wastewater pipes (PRECO)",595975,
Sainte-Hyacinthe,"Program for the renewal of drinking water and wastewater pipes (PRECO)",367340,
Sainte-Jeanne-d'Arc,"Program for the renewal of drinking water and wastewater pipes (PRECO)",26000,
Sainte-Jeanne-d'Arc et La Rédemption,"Repairs to Route Massé",850000,
Sainte-Julie,"Program for the renewal of drinking water and wastewater pipes (PRECO)",423365,
Sainte-Julie,"Program for the renewal of drinking water and wastewater pipes (PRECO)",520400,
Sainte-Julie,"Program for the renewal of drinking water and wastewater pipes (PRECO)",1240250,
Sainte-Julie,"Program for the renewal of drinking water and wastewater pipes (PRECO)",605260,
Sainte-Julienne,"Program for the renewal of drinking water and wastewater pipes (PRECO)",1005550,
Sainte-Julienne,"Resurfacing Route 337",907000,
Sainte-Luce,"Program for the renewal of drinking water and wastewater pipes (PRECO)",122500,
Sainte-Luce,"Program for the renewal of drinking water and wastewater pipes (PRECO)",24375,
Sainte-Lucie-des-Laurentides,"Upgrades to drinking water infrastructure",318333,
Sainte-Madeleine,"Program for the renewal of drinking water and wastewater pipes (PRECO)",242320,
Sainte-Marcelline-de-Kildare,"Water infrastructure at Lake Morin",337775,
Sainte-Marguerite,"Program for the renewal of drinking water and wastewater pipes (PRECO)",399725,
Sainte-Marguerite,"Drinking water upgrade ",2651515.15,"$175 million has been committed to date to the province of Quebec for initiatives funded under Provincial-Territorial Base Fund."
Sainte-Marguerite-du-Lac-Masson,"Program for the renewal of drinking water and wastewater pipes (PRECO)",961875,
Sainte-Marguerite-du-Lac-Masson,"Program for the renewal of drinking water and wastewater pipes (PRECO)",467250,
Sainte-Marguerite-du-Lac-Masson,"Program for the renewal of drinking water and wastewater pipes (PRECO)",121975,
Sainte-Marie,"Program for the renewal of drinking water and wastewater pipes (PRECO)",418375,
Sainte-Marie,"Program for the renewal of drinking water and wastewater pipes (PRECO)",801755,
Sainte-Marie,"Sainte-Marie Sports and Cultural Complex",9137685,
Sainte-Marie,"Program for the renewal of drinking water and wastewater pipes (PRECO)",155175,
Sainte-Marie,"Maison Dupuis civil aviation museum redevelopment",121499,
Sainte-Marie-Madeleine,"Program for the renewal of drinking water and wastewater pipes (PRECO)",101500,
Sainte-Marthe et Rigaud,"Resurfacing of Route 201",812500,
Sainte-Monique,"Program for the renewal of drinking water and wastewater pipes (PRECO)",1114490,
Sainte-Monique,"Program for the renewal of drinking water and wastewater pipes (PRECO)",350540,
Sainte-Rita,"Construction of a multipurpose centre",487277,
Sainte-Rose-de-Watford,"Repairs to Route 204 in Sainte-Rose-de-Watford and Saint-Prosper",610000,
Sainte-Sabine,"Community Centre Renovations",55000,
Sainte-Thècle,"Program for the renewal of drinking water and wastewater pipes (PRECO)",593900,
Sainte-Thérèse,"Program for the renewal of drinking water and wastewater pipes (PRECO)",491000,
Sainte-Thérèse,"Program for the renewal of drinking water and wastewater pipes (PRECO)",357575,
Sainte-Thérèse,"Program for the renewal of drinking water and wastewater pipes (PRECO)",49125,
Sainte-Thérèse,"Program for the renewal of drinking water and wastewater pipes (PRECO)",226660,
Sainte-Ursule,"Sanitary sewer system",999734,
Sainte-Victoire-de-Sorel,"Program for the renewal of drinking water and wastewater pipes (PRECO)",597000,
Sainte-Victoire-de-Sorel,"Waste Water Treatment in Sainte-Victoire-de-Sorel",1059890,
Salaberry-de-Valleyfield,"Program for the renewal of drinking water and wastewater pipes (PRECO)",5411285,
Salaberry-de-Valleyfield,"Industrial Park No. 2 - Municipal infrastructures",2828518,
Salaberry-de-Valleyfield,"Renovation and expansion of Salaberry Arena",3230000,
Sayabec,"Repair and expansion of the Sayabec Community Centre",593630,
Senneville,"Program for the renewal of drinking water and wastewater pipes (PRECO)",405250,
Senneville,"Program for the renewal of drinking water and wastewater pipes (PRECO)",105000,
Senneville,"Program for the renewal of drinking water and wastewater pipes (PRECO)",84375,
Senneville,"Program for the renewal of drinking water and wastewater pipes (PRECO)",75000,
Senneville,"Program for the renewal of drinking water and wastewater pipes (PRECO)",228750,
Senneville,"Wastewater collection - Crevierville sector",293541,
Sept-Îles,"Program for the renewal of drinking water and wastewater pipes (PRECO)",244515,
Sept-Îles,"Program for the renewal of drinking water and wastewater pipes (PRECO)",273625,
Sept-Îles,"Development of Pointe-Noire Terminal",5000000,
Sept-Îles,"Pavement Reconstruction on Route 138 in Sept-Îles (Phase 2)",1000000,
Sept-Îles,"Pavement Reconstruction on Route 138 in Sept-Îles (Phase 3)",677500,
Sept-Îles,"Pavement Reconstruction on Route 138 in Sept-Îles (Phase 4)",675000,
Sept-Iles,"Phase 2 - Increase in Capacity, Terminal La Relance",7000000,
Sept-Îles,"Pier 30 Rehabilitation",4535000,
Sept-Îles,"Port of Sept-Îles Terminal de la Relance Project",15000000,
Shawinigan,"Program for the renewal of drinking water and wastewater pipes (PRECO)",4066890,
Shawinigan,"Program for the renewal of drinking water and wastewater pipes (PRECO)",375805,
Shawinigan,"Maison de la Culture Francis Brisson",1225000,
Shawinigan,"Repairs to des Hêtres Boulevard",2523667,
Shawinigan,"Repairs to Principal Road",906000,
Shawinigan,"Updating the water treatment system in Shawinigan",24030048,
Shefford,"Program for the renewal of drinking water and wastewater pipes (PRECO)",256000,
Shefford,"Program for the renewal of drinking water and wastewater pipes (PRECO)",142400,
Shefford,"Wastewater collection and treatment",467500,
Sherbrooke,"Repairs to Highway 55 in Sherbrooke",1190000,
Sherbrooke,"Repairs to Highway 55 in Sherbrooke",892500,
Sherbrooke,"Program for the renewal of drinking water and wastewater pipes (PRECO)",2301620,
Sherbrooke,"Renovation of Sherbrooke, Deauville and Brompton water treatment plants",6527647,
Sherbrooke,"Sherbrooke Regional Exhibition Centre",5839087,
Sherbrooke,"Construction of a Multisport at Bishop's University",13250000,
Sherbrooke,"Upgrading of drinking water supply infrastructure ",2651515.15,"$175 million has been committed to date to the province of Quebec for initiatives funded under Provincial-Territorial Base Fund."
St Adelme,"Upgrade of drinking water supply ",2651515.15,"$175 million has been committed to date to the province of Quebec for initiatives funded under Provincial-Territorial Base Fund."
St Agathe des Monts,"Water production upgrade ",2651515.15,"$175 million has been committed to date to the province of Quebec for initiatives funded under Provincial-Territorial Base Fund."
St Charles sur Richelieu,"Water supply and wastewater treatment ",2651515.15,"$175 million has been committed to date to the province of Quebec for initiatives funded under Provincial-Territorial Base Fund."
St François d'Assise,"Upgrade of drinking water supply infrastructure ",2651515.15,"$175 million has been committed to date to the province of Quebec for initiatives funded under Provincial-Territorial Base Fund."
St Henri de Taillon,"Groundwater supply ",2651515.15,"$175 million has been committed to date to the province of Quebec for initiatives funded under Provincial-Territorial Base Fund."
St Hubert de la Rivière du Loup,"Drinking water upgrade ",2651515.15,"$175 million has been committed to date to the province of Quebec for initiatives funded under Provincial-Territorial Base Fund."
St Monique,"Drinking water supply ",2651515.15,"$175 million has been committed to date to the province of Quebec for initiatives funded under Provincial-Territorial Base Fund."
St Paul de Montminy,"Drinking water upgrade ",2651515.15,"$175 million has been committed to date to the province of Quebec for initiatives funded under Provincial-Territorial Base Fund."
St Rose du Nord,"Drinking water upgrade ",2651515.15,"$175 million has been committed to date to the province of Quebec for initiatives funded under Provincial-Territorial Base Fund."
St-Adrien d'Irlande,"Renovation of the Cultural Hall",16931,
St-Ambroise,"Bridge Reconstruction on Highway 172",1400000,
St-Calixte,"Pavement reinforcement on Highway 335",715000,
St-Cyprien,"Repairs to Highway 293 in the Municipality of St Cyprien",755000,
St-Édouard et St-Patrice-de-Sherrington,"Repairs to Route 221",662500,
St-Épiphane,"Repairs to Highway 291",775000,
St-Étienne-de-Grès,"Improvements to St-Thomas Road in the Municipality of St-Étienne-de-Grès",762500,
St-Eulalie,"Improvements to Highway 20 westbound near the Nicolet River",995000,
St-Jacques-le-Mineur,"Rebuilding of structures on Highway 15. southbound ",2651515.15,"$175 million has been committed to date to the province of Quebec for initiatives funded under Provincial-Territorial Base Fund."
St-Octave-de-Métis,"Repairing Kempt Road in the Municipalities of St-Octave-de-Métis and Padoue",625500,
St-Pacôme,"Repairs to De la Cannelle Rang Road",590059,
St-Rémi-de-Tingwick,"Rebuilding Main Street",750000,
St-Roch-de-Mékinac,"Mékinac Campground",146621,
St-Sauveur,"Reconstruction of structure on Highway 364 over Highway 15 ",2651515.15,"$175 million has been committed to date to the province of Quebec for initiatives funded under Provincial-Territorial Base Fund."
St-Sylvestre,"Improvements to Highway 269 in the Municipality of Saint-Sylvestre",880000,
St-Thomas,"Improvements to Highway 31 in the Municipalities of St-Thomas, Lavaltrie and Joliette",800000,
St. Martin,"Drinking water upgrade ",2651515.15,"$175 million has been committed to date to the province of Quebec for initiatives funded under Provincial-Territorial Base Fund."
Stanstead,"Program for the renewal of drinking water and wastewater pipes (PRECO)",500185,
Stanstead,"Construction of a municipal arena",2680818,
Stanstead -East,"Repairs to Highway 143 in Stanstead-Est",677500,
Ste-Sophie-de-Lévrard,"Repairs to Route 218",302500,
Stoneham,"Du Hibou Road and 1st Avenue in Stoneham",1327500,
Sutton,"Wearing Course to Route 139 in Sutton",1024500,
Tadoussac,"Upgrade of drinking water supply ",2651515.15,"$175 million has been committed to date to the province of Quebec for initiatives funded under Provincial-Territorial Base Fund."
Taschereau,"Highway 111 Improvements",2310000,
Témiscaming,"Program for the renewal of drinking water and wastewater pipes (PRECO)",121000,
Témiscaming,"Program for the renewal of drinking water and wastewater pipes (PRECO)",90800,
Témiscaming,"Improvements to the Rest Area",20691,
Témiscaming,"Drinking water upgrade ",2651515.15,"$175 million has been committed to date to the province of Quebec for initiatives funded under Provincial-Territorial Base Fund."
Terrebonne,"Program for the renewal of drinking water and wastewater pipes (PRECO)",346290,
Terrebonne,"Program for the renewal of drinking water and wastewater pipes (PRECO)",2724320,
Terrebonne,"Realignment of Saint-Sacrement Street and revitalization of Seigneurs Boulevard",995203,
Thetford-Mines,"Program for the renewal of drinking water and wastewater pipes (PRECO)",442905,
Thetford-Mines,"Upgrades to Thetford Mines' Water Treatment and Distriubution System",25151737,
Thurso,"Upgrade to drinking water plant",1387500,
Tring-Jonction,"Restoration of the Former Tring-Jonction Station and Development of a Public Library",267200,
Trois Pistoles,"Renovation to Bertrand-Lepage multipurpose centre",2035404,
Trois Pistoles,"Ski-lift upgrades in Mont-Saint-Mathieu Park",747500,
Trois-Rivières,"Program for the renewal of drinking water and wastewater pipes (PRECO)",951755,
Trois-Rivières,"Strengthening Borders at the Port of Trois-Rivières",861505,
Trois-Rivières,"Expanding Storage Space at the Port of Trois-Rivières",3823952,
Trois-Rivières,"Improvements on Highway 352 in Trois Rivières",570000,
Trois-Rivières,"Improvements to Highway 157 in the Municipality of Trois-Rivières",520000,
Trois-Rivières,"Improvements to Highway 40 in the Municipality of Trois-Rivières",535000,
Trois-Rivières,"Improving Productivity at the Port of Trois-Rivières",998247,
Trois-Rivières,"Improving Public Access to the Port of Trois-Rivières",221296,
Trois-Rivières,"Program for the renewal of drinking water and wastewater pipes (PRECO)",929020,
Trois-Rivières,"Trois-Rivières Amphitheatre",13300000,
Trois-Rivières,"Drinking water upgrade ",2651515.15,"$175 million has been committed to date to the province of Quebec for initiatives funded under Provincial-Territorial Base Fund."
Trois-Rivières,"Linking Pointe-du Lac wastewater system to Trois-Rivières' main system",1475860,
Trois-Rivières,"Connecting Cap-de-la-Madeleine area wells to the des Érables reserve",634891,
Val d'Or,"Extension of the water supply system",677703,
Val-d'Or,"Maintenance Work at the Félix-Leclerc Concert Hall",781200,
Val-David,"Program for the renewal of drinking water and wastewater pipes (PRECO)",282615,
Val-David,"Program for the renewal of drinking water and wastewater pipes (PRECO)",281250,
Val-Morin,"Program for the renewal of drinking water and wastewater pipes (PRECO)",978300,
Val-Morin,"Program for the renewal of drinking water and wastewater pipes (PRECO)",172875,
Val-Morin,"Program for the renewal of drinking water and wastewater pipes (PRECO)",940750,
Val-Racine and Notre-Dame-des-Bois,"Road improvements in Val-Racine and Notre-Dame-des-Bois",1486626,
Valcourt,"Program for the renewal of drinking water and wastewater pipes (PRECO)",516725,
Valcourt,"Program for the renewal of drinking water and wastewater pipes (PRECO)",137150,
Vallée-Jonction,"Program for the renewal of drinking water and wastewater pipes (PRECO)",476125,
Vallée-Jonction,"Road, Sidewalk and Underground Infrastructure Rehabilitation on Principale Street (Highway 173) and du Pont Street (Highway 112)",1000000,
Varennes,"Program for the renewal of drinking water and wastewater pipes (PRECO)",475850,
Vaudreuil,"Installation of Five Railway Yard Shelters",11666000,
Vaudreuil-Dorion,"Program for the renewal of drinking water and wastewater pipes (PRECO)",411430,
Vaudreuil-Dorion,"Off-Ramp Construction on Highway 40",1762500,
Vaudreuil-Dorion,"Construction of a multidisciplinary sports complex",8397294,
Vaudreuil-Dorion,"Vaudreuil-Dorion municipal arena",3249092,
Vaudreuil-Soulanges,"Construction of Regional Ecocentres",1203627,
Vauvert,"Development of ?Vauvert sur le Lac? Recreational Tourism Site",1706392,
Venise-en-Québec,"Installation of a water and wastewater system in the Pointe-Jamieson area",680000,
Verchères,"Program for the renewal of drinking water and wastewater pipes (PRECO)",283125,
Victoriaville,"Program for the renewal of drinking water and wastewater pipes (PRECO)",57925,
Victoriaville,"Program for the renewal of drinking water and wastewater pipes (PRECO)",1010885,
Victoriaville,"Program for the renewal of drinking water and wastewater pipes (PRECO)",434775,
Victoriaville,"Program for the renewal of drinking water and wastewater pipes (PRECO)",131750,
Victoriaville,"Program for the renewal of drinking water and wastewater pipes (PRECO)",409500,
Victoriaville,"Program for the renewal of drinking water and wastewater pipes (PRECO)",128750,
Victoriaville,"Program for the renewal of drinking water and wastewater pipes (PRECO)",394780,
Victoriaville,"Program for the renewal of drinking water and wastewater pipes (PRECO)",296880,
Victoriaville,"Program for the renewal of drinking water and wastewater pipes (PRECO)",96600,
Victoriaville,"Performing Arts Centre",8010000,
Ville-Marie,"Program for the renewal of drinking water and wastewater pipes (PRECO)",394270,
Ville-Marie,"Development of a neighbourhood park",28122,
Villeroy,"Reconstruction of Highway 20/railroad structures ",2651515.15,"$175 million has been committed to date to the province of Quebec for initiatives funded under Provincial-Territorial Base Fund."
Warwick,"Program for the renewal of drinking water and wastewater pipes (PRECO)",199950,
Warwick,"Water and drainage pipe construction",453406,
Waterloo,"Program for the renewal of drinking water and wastewater pipes (PRECO)",1053715,
Waterloo,"Program for the renewal of drinking water and wastewater pipes (PRECO)",34200,
Waterville,"Upgrading of drinking water production and supply infrastructure ",2651515.15,"$175 million has been committed to date to the province of Quebec for initiatives funded under Provincial-Territorial Base Fund."
Weedon,"Program for the renewal of drinking water and wastewater pipes (PRECO)",438250,
Wentworth,"Rehabilitation of Glen Road",165207,
Westbury and Bury,"Resurfacing of Highway 214",1595000,
Westmount,"Program for the renewal of drinking water and wastewater pipes (PRECO)",316475,
Westmount,"Program for the renewal of drinking water and wastewater pipes (PRECO)",221900,
Westmount,"Program for the renewal of drinking water and wastewater pipes (PRECO)",996125,
Westmount,"Sports complex renovation",9984720,
Wickham,"Highway 139 in the Village of Wickham (Urban Area)",1732500,
Yamachiche,"Program for the renewal of drinking water and wastewater pipes (PRECO)",750250,
Yamachiche,"Program for the renewal of drinking water and wastewater pipes (PRECO)",166250,
Yamaska,"Program for the renewal of drinking water and wastewater pipes (PRECO)",296275,
